SEF,Tenor,Category,AssetClass,Currency,Notional_Local,Notional_USD,Trades,Trades_Estimated,Last_Price,Description,MXN_Match
ICAP,Other,Other,CD,N/A,52000000,,1,False,89.26,483327 IG45 10Y - SEF,False
ICAP,Other,Other,CD,EUR,100000000,,2,False,52.75,505474 S45 EUR 5Y (SEF),False
ICAP,Other,Other,CD,N/A,975000000,,15,False,51.44,507693 IG46 5Y - SEF,False
ICAP,Other,Other,CD,N/A,50000000,,1,False,91.25,507777 IG46 10Y - SEF,False
ICAP,Other,Other,CD,N/A,145000000,,14,False,107.93,508443 HY46 5Y - SEF,False
ICAP,Other,Other,CD,N/A,95000000,,9,False,98.17,CDX.EM.45.V1_60M CDX.EM.45.V1_60M,False
ICAP,ON,FX,CU,USD,30000000,,1,False,5.09235,0D_NDF.USD.BRL.0D_NDF 0D_NDF.USD.BRL.0D_NDF,False
ICAP,ON,FX,CU,USD,10000000,,1,False,6.7905,0D_NDF.USD.CNY.TOM_NDF 0D_NDF.USD.CNY.TOM_NDF,False
ICAP,ON,FX,CU,USD,101750000,,13,False,3225.0,0D_NDF.USD.COP.TOD_NDF 0D_NDF.USD.COP.TOD_NDF,False
ICAP,ON,FX,CU,USD,801000000,,34,False,3225.0,0D_NDF.USD.COP.TOM_NDF 0D_NDF.USD.COP.TOM_NDF,False
ICAP,ON,FX,CU,USD,13000000,,2,False,17984.0,0D_NDF.USD.IDR.TOM_NDF 0D_NDF.USD.IDR.TOM_NDF,False
ICAP,ON,FX,CU,USD,53000000,,3,False,96.38,0D_NDF.USD.INR.TOM_NDF 0D_NDF.USD.INR.TOM_NDF,False
ICAP,ON,FX,CU,USD,342500000,,12,False,1480.0,0D_NDF.USD.KRW.TOM_NDF 0D_NDF.USD.KRW.TOM_NDF,False
ICAP,ON,FX,CU,USD,44500000,,8,False,3.386,0D_NDF.USD.PEN.TOD_NDF 0D_NDF.USD.PEN.TOD_NDF,False
ICAP,ON,FX,CU,USD,7000000,,1,False,3.392,0D_NDF.USD.PEN.TOM_NDF 0D_NDF.USD.PEN.TOM_NDF,False
ICAP,ON,FX,CU,USD,140500000,,12,False,61.6675,0D_NDF.USD.PHP.TOM_NDF 0D_NDF.USD.PHP.TOM_NDF,False
ICAP,10D,FX,CU,USD,20000000,,1,False,3247.75,10D_NDF.USD.COP.10D_NDF 10D_NDF.USD.COP.10D_NDF,False
