SEF,Tenor,Category,AssetClass,Currency,Notional_Local,Notional_USD,Trades,Trades_Estimated,Last_Price,Description,MXN_Match
BGC,6M,IRS / Swap,IR,EUR,200000000.0,,1,True,2.645, IRS 20260710 20260730 6MEUR EUR 12M1 167 6M1 167 5 - LCHFCM,False
BGC,6M,IRS / Swap,IR,EUR,1000000000.0,,1,True,2.617, IRS 20260710 20260916 6MEUR EUR 12M1 167 3M1 167 11 - ERX,False
BGC,6M,IRS / Swap,IR,EUR,2000000000.0,,1,True,2.617, IRS 20260710 20260916 6MEUR EUR 12M1 44 3M1 167 5 - LCH,False
BGC,6M,IRS / Swap,IR,EUR,1000000000.0,,1,True,2.711, IRS 20260710 20270915 6MEUR EUR 12M1 167 3M1 167 11 - ERX,False
BGC,6M,IRS / Swap,IR,EUR,1000000000.0,,1,True,2.711, IRS 20260710 20270915 6MEUR EUR 12M1 44 3M1 167 5 - LCH,False
BGC,6M,IRS / Swap,IR,EUR,2000000000.0,,1,True,2.7095, IRS 20260710 20280621 6MEUR EUR 12M1 167 3M1 167 11 - ERX,False
BGC,6M,IRS / Swap,IR,EUR,3500000000.0,,1,True,2.7095, IRS 20260710 20280621 6MEUR EUR 12M1 44 3M1 167 5 - LCHFCM,False
BGC,6M,IRS / Swap,IR,EUR,2000000000.0,,1,True,2.724, IRS 20260710 20280920 6MEUR EUR 12M1 167 3M1 167 11 - ERX,False
BGC,6M,IRS / Swap,IR,EUR,3500000000.0,,1,True,2.724, IRS 20260710 20280920 6MEUR EUR 12M1 44 3M1 167 5 - LCHFCM,False
BGC,10Y,IRS / Swap,IR,EUR,245000000.0,,1,True,3.325, IRS 20260710 20290712 10YEUR EUR 12M2 167 6M1 167 5 - LCHFCM,False
BGC,20Y,IRS / Swap,IR,EUR,32000000.0,,1,True,3.422, IRS 20260710 20300712 20YEUR EUR 12M2 167 6M1 167 5 - LCHFCM,False
BGC,2Y,IRS / Swap,IR,AUD,133750000.0,,1,True,7.25, SBS 20260710 20260713 2YAUD AUD 3M5 151 3M5 140 5 - LCH,False
BGC,6M,IRS / Swap,IR,EUR,200000000.0,,1,True,2.62, FRA 20260710 20260715 6MEUR EUR 3M1 167 3M1 167 5 - LCHFCM,False
BGC,6M,IRS / Swap,IR,PLN,1570000000.0,,1,True,3.7075, FRA 20260710 20260914 6MPLN PLN 3M5 163 6M5 163 5 - LCH,False
BGC,3M,IRS / Swap,IR,SEK,1300000000.0,,1,True,2.105, FRA 20260710 20260916 3MSEK SEK 3M1 132 3M1 132 5 - LCHFCM,False
BGC,6M,IRS / Swap,IR,EUR,1000000000.0,,1,True,2.728, FRA 20260710 20260916 6MEUR EUR 3M1 167 6M1 167 11 - ERX,False
BGC,6M,IRS / Swap,IR,EUR,2000000000.0,,1,True,2.728, FRA 20260710 20260916 6MEUR EUR 3M1 167 6M1 167 5 - LCH,False
BGC,6M,IRS / Swap,IR,PLN,1570000000.0,,1,True,3.6725, FRA 20260710 20261014 6MPLN PLN 3M5 163 6M5 163 5 - LCH,False
BGC,3M,IRS / Swap,IR,SEK,4000000000.0,,1,True,2.19, FRA 20260710 20261216 3MSEK SEK 3M1 132 3M1 132 5 - LCH,False
BGC,3M,IRS / Swap,IR,SEK,5000000000.0,,1,True,2.36, FRA 20260710 20270317 3MSEK SEK 3M1 132 3M1 132 5 - LCH,False
BGC,6M,IRS / Swap,IR,EUR,1000000000.0,,1,True,2.826, FRA 20260710 20270915 6MEUR EUR 3M1 167 6M1 167 11 - ERX,False
BGC,6M,IRS / Swap,IR,EUR,1000000000.0,,1,True,2.826, FRA 20260710 20270915 6MEUR EUR 3M1 167 6M1 167 5 - LCHFCM,False
BGC,6M,IRS / Swap,IR,EUR,2000000000.0,,1,True,2.814, FRA 20260710 20280621 6MEUR EUR 3M1 167 6M1 167 11 - ERX,False
BGC,6M,IRS / Swap,IR,EUR,3500000000.0,,1,True,2.814, FRA 20260710 20280621 6MEUR EUR 3M1 167 6M1 167 5 - LCHFCM,False
BGC,6M,IRS / Swap,IR,EUR,2000000000.0,,1,True,2.824, FRA 20260710 20280920 6MEUR EUR 3M1 167 6M1 167 11 - ERX,False
BGC,6M,IRS / Swap,IR,EUR,3500000000.0,,1,True,2.824, FRA 20260710 20280920 6MEUR EUR 3M1 167 6M1 167 5 - LCHFCM,False
BGC,1Y,IRS / Swap,IR,USD,50000000.0,,1,True,2.065, ZCI 20260710 20260714 1YUSD USD 1Y8 0 1Y8 0 5 - LCHFCM,False
BGC,3Y,IRS / Swap,IR,USD,161750000.0,,1,True,2.4025, ZCI 20260710 20260714 3YUSD USD 1Y8 0 3Y8 0 5 - LCHFCM,False
BGC,5Y,IRS / Swap,IR,USD,100000000.0,,1,True,2.4275, ZCI 20260710 20260714 5YUSD USD 1M8 0 5Y8 0 5 - LCH,False
BGC,12M,IRS / Swap,IR,TRY,585000000.0,,1,True,37.8, OIS 20260710 20260713 12MTRY TRY 3M5 179 3M5 179 0,False
BGC,2Y,IRS / Swap,IR,INR,18060000000.0,,1,True,5.905, OIS 20260710 20260713 2YINR INR 6M5 184 6M5 184 5 - LCH,False
BGC,3M,IRS / Swap,IR,TRY,4000000000.0,,1,True,39.8, OIS 20260710 20260713 3MTRY TRY 3M5 179 3M5 179 0,False
BGC,3Y,IRS / Swap,IR,CAD,382000000.0,,1,True,2.855, OIS 20260710 20260713 3YCAD CAD 6M5 129 6M5 129 5 - LCH,False
BGC,3Y,IRS / Swap,IR,INR,14160000000.0,,1,True,6.025, OIS 20260710 20260713 3YINR INR 6M5 184 6M5 184 5 - LCH,False
BGC,5Y,IRS / Swap,IR,INR,4520000000.0,,1,True,6.18125, OIS 20260710 20260713 5YINR INR 6M5 184 6M5 184 5 - LCH,False
BGC,6M,IRS / Swap,IR,TRY,2120000000.0,,1,True,38.94, OIS 20260710 20260713 6MTRY TRY 3M5 179 3M5 179 0,False
BGC,6Y,IRS / Swap,IR,CAD,458000000.0,,1,True,3.0225, OIS 20260710 20260713 6YCAD CAD 6M5 129 6M5 129 5 - LCHFCM,False
BGC,8Y,IRS / Swap,IR,CAD,200000000.0,,1,True,3.136, OIS 20260710 20260713 8YCAD CAD 6M5 129 6M5 129 5 - LCHFCM,False
BGC,9M,IRS / Swap,IR,TRY,750000000.0,,1,True,38.25, OIS 20260710 20260713 9MTRY TRY 3M5 106 3M5 106 0,False
BGC,10Y,IRS / Swap,IR,EUR,220600000.0,,1,True,2.8692, OIS 20260710 20260714 10YEUR EUR 12M1 178 12M1 178 5 - LCH,False
BGC,10Y,IRS / Swap,IR,JPY,20000000000.0,,1,True,2.62875, OIS 20260710 20260714 10YJPY JPY 12M5 128 12M5 128 5 - LCH,False
BGC,10Y,IRS / Swap,IR,MXN,460000000.0,,1,True,8.11, OIS 20260710 20260714 10YMXN MXN 28D1 200 28D1 200 2 - CME,True
BGC,10Y,IRS / Swap,IR,USD,426000000.0,,1,True,4.13549, OIS 20260710 20260714 10YUSD USD 12M1 22 12M1 176 5 - LCHFCM,False
BGC,12M,IRS / Swap,IR,THB,10200000000.0,,1,True,1.08, OIS 20260710 20260714 12MTHB THB 3M5 190 3M5 190 5 - LCH,False
