SEF,Tenor,Category,AssetClass,Currency,Notional_Local,Notional_USD,Trades,Trades_Estimated,Last_Price,Description,MXN_Match
GFI,TN,FX,CU,USD,30000000.0,,1,True,8.75,USDMXN CALL 17.25 NEW YORK 05JUN2026 C1 BILATERAL,True
GFI,1Y,FX,CU,USD,5000000.0,,1,True,110125.0,USDMXN CALL 19 NEW YORK 03JUN2027 C1 BILATERAL,True
GFI,1M,FX,CU,USD,36000000.0,,1,True,9.65,USDMXN PUT 25D NEW YORK 02JUL2026 P2 BILATERAL,True
GFI,1M,FX,CU,USD,60000000.0,,1,True,10.6,USDMXN PUT 17.95 NEW YORK 06JUL2026 P1 BILATERAL,True
GFI,1M,FX,CU,USD,20000000.0,,1,True,8.1,USDMXN PUT 50D NEW YORK 06JUL2026 P3 BILATERAL,True
GFI,1M,FX,CU,USD,120000000.0,,1,True,10.6,USDMXN PUT 17.95 NEW YORK 06JUL2026 P1 BILATERAL,True
GFI,1M,FX,CU,USD,40000000.0,,1,True,8.1,USDMXN PUT 50D NEW YORK 06JUL2026 P3 BILATERAL,True
GFI,1W,FX,CU,USD,15000000.0,,1,True,3.419,USDPEN NDF 10JUN2026 BILATERAL,False
GFI,2W,FX,CU,USD,50000000.0,,1,True,3.419,USDPEN NDF 15JUN2026 BILATERAL,False
GFI,3W,FX,CU,USD,15000000.0,,1,True,3.4219,USDPEN NDF 26JUN2026 BILATERAL,False
GFI,1M,FX,CU,USD,30000000.0,,1,True,3.4225,USDPEN NDF 02JUL2026 BILATERAL,False
GFI,3M,FX,CU,USD,50000000.0,,1,True,3.4352,USDPEN NDF 14SEP2026 BILATERAL,False
GFI,ON,FX,CU,USD,10000000.0,,1,True,61.852,USDPHP NDF 04JUN2026 BILATERAL,False
GFI,1M,FX,CU,USD,10000000.0,,1,True,61.95,USDPHP NDF 03JUL2026 BILATERAL,False
GFI,1Y,FX,CU,USD,10000000.0,,1,True,4.47,USDSGD CALL 1.245 TOKYO 03JUN2027 C1 BILATERAL,False
GFI,1W,FX,CU,USD,15000000.0,,1,True,3.67,USDSGD CALL 1.285 TOKYO 10JUN2026 C1 BILATERAL,False
GFI,1Y,FX,CU,USD,10000000.0,,1,True,4.47,USDSGD CALL 1.245 TOKYO 03JUN2027 C1 BILATERAL,False
GFI,ON,FX,CU,USD,5000000.0,,1,True,31.43,USDTWD NDF 04JUN2026 BILATERAL,False
GFI,1M,FX,CU,USD,5000000.0,,1,True,31.49,USDTWD NDF 02JUL2026 BILATERAL,False
GFI,1W,FX,CU,USD,20000000.0,,1,True,10.0,USDZAR CALL 16.12 NEW YORK 08JUN2026 C1 BILATERAL,False
GFI,2W,FX,CU,USD,12500000.0,,1,True,81752.0,USDZAR PUT 16.25 NEW YORK 18JUN2026 P1 BILATERAL,False
GFI,2W,FX,CU,USD,25000000.0,,1,True,35776.0,USDZAR PUT 15.95 NEW YORK 18JUN2026 P2 BILATERAL,False
GFI,1M,FX,CU,USD,25000000.0,,1,True,116275.0,USDZAR PUT 16 NEW YORK 09JUL2026 P1 BILATERAL,False
GFI,1M,FX,CU,USD,37500000.0,,1,True,50737.5,USDZAR PUT 15.7 NEW YORK 09JUL2026 P2 BILATERAL,False
GFI,10M,IRS / Swap,IR,BRL,783000000.0,,1,True,14.279825, IRS 20260603 20260603 10MBRL BRL 1T0 198 1T0 198 2 - CME,False
GFI,19M,IRS / Swap,IR,BRL,3102000000.0,,1,True,14.370441, IRS 20260603 20260603 19MBRL BRL 1T0 198 1T0 198 2 - CME,False
GFI,31M,IRS / Swap,IR,BRL,615000000.0,,1,True,14.22875, IRS 20260603 20260603 31MBRL BRL 1T0 198 1T0 198 2 - CME,False
GFI,55M,IRS / Swap,IR,BRL,3806000000.0,,1,True,14.21, IRS 20260603 20260603 55MBRL BRL 1T0 198 1T0 198 2 - CME,False
GFI,7M,IRS / Swap,IR,BRL,5443000000.0,,1,True,14.260023, IRS 20260603 20260603 7MBRL BRL 1T0 198 1T0 198 2 - CME,False
GFI,10Y,IRS / Swap,IR,EUR,50000000.0,,1,True,3.0581, IRS 20260603 20260605 10YEUR EUR 12M2 167 6M1 167 5 - LCH,False
GFI,10Y,IRS / Swap,IR,EUR,200000000.0,,1,True,2.9829, IRS 20260603 20260605 10YEUR EUR 12M2 44 3M1 167 11 - ERX,False
GFI,10Y,IRS / Swap,IR,EUR,200000000.0,,1,True,2.9699, IRS 20260603 20260605 10YEUR EUR 12M2 44 3M1 167 5 - LCH,False
GFI,10Y,IRS / Swap,IR,EUR,200000000.0,,1,True,3.0529, IRS 20260603 20260605 10YEUR EUR 12M2 44 6M1 167 11 - ERX,False
GFI,10Y,IRS / Swap,IR,EUR,291300000.0,,1,True,3.05, IRS 20260603 20260605 10YEUR EUR 12M2 44 6M1 167 5 - LCH,False
GFI,18M,IRS / Swap,IR,CLP,20000000000.0,,1,True,4.82, IRS 20260603 20260605 18MCLP CLP 1T1 86 1T1 203 2 - CME,False
GFI,2Y,IRS / Swap,IR,CLP,19000000000.0,,1,True,4.75, IRS 20260603 20260605 2YCLP CLP 6M1 203 6M1 203 0,False
GFI,2Y,IRS / Swap,IR,CLP,14300000000.0,,1,True,4.77, IRS 20260603 20260605 2YCLP CLP 6M1 86 6M1 203 2 - CME,False
GFI,4Y,IRS / Swap,IR,CLP,7500000000.0,,1,True,4.92, IRS 20260603 20260605 4YCLP CLP 6M1 86 6M1 203 2 - CME,False
GFI,4Y,IRS / Swap,IR,CLP,24800000000.0,,1,True,4.92, IRS 20260603 20260605 4YCLP CLP 6M1 86 6M1 86 2 - CME,False
GFI,4Y,IRS / Swap,IR,EUR,450000000.0,,1,True,2.8529, IRS 20260603 20260605 4YEUR EUR 12M2 167 6M1 167 5 - LCH,False
GFI,4Y,IRS / Swap,IR,EUR,450000000.0,,1,True,2.7579, IRS 20260603 20260605 4YEUR EUR 12M2 44 3M1 167 5 - LCH,False
GFI,5Y,IRS / Swap,IR,CLP,6200000000.0,,1,True,4.985, IRS 20260603 20260605 5YCLP CLP 6M1 86 6M1 203 0,False
GFI,5Y,IRS / Swap,IR,CLP,53100000000.0,,1,True,4.99, IRS 20260603 20260605 5YCLP CLP 6M1 86 6M1 203 2 - CME,False
GFI,5Y,IRS / Swap,IR,CLP,10200000000.0,,1,True,4.99, IRS 20260603 20260605 5YCLP CLP 6M1 86 6M1 86 0,False
GFI,5Y,IRS / Swap,IR,CLP,20500000000.0,,1,True,4.99, IRS 20260603 20260605 5YCLP CLP 6M1 86 6M1 86 2 - CME,False
GFI,5Y,IRS / Swap,IR,EUR,250000000.0,,1,True,2.7381, IRS 20260603 20260605 5YEUR EUR 12M1 167 3M1 167 5 - LCH,False
GFI,5Y,IRS / Swap,IR,EUR,450000000.0,,1,True,2.7343, IRS 20260603 20260605 5YEUR EUR 12M1 44 3M1 167 5 - LCH,False
GFI,5Y,IRS / Swap,IR,EUR,50000000.0,,1,True,2.85766, IRS 20260603 20260605 5YEUR EUR 12M2 167 6M1 167 5 - LCH,False
GFI,5Y,IRS / Swap,IR,EUR,362000000.0,,1,True,2.791, IRS 20260603 20260605 5YEUR EUR 12M2 44 3M1 167 5 - LCHFCM,False
GFI,5Y,IRS / Swap,IR,EUR,694400000.0,,1,True,2.8825, IRS 20260603 20260605 5YEUR EUR 12M2 44 6M1 167 5 - LCH,False
GFI,6Y,IRS / Swap,IR,CLP,8800000000.0,,1,True,5.07, IRS 20260603 20260605 6YCLP CLP 6M1 203 6M1 203 2 - CME,False
GFI,6Y,IRS / Swap,IR,CLP,19300000000.0,,1,True,5.06, IRS 20260603 20260605 6YCLP CLP 6M1 86 6M1 203 2 - CME,False
