SEF,Tenor,Category,AssetClass,Currency,Notional_Local,Notional_USD,Trades,Trades_Estimated,Last_Price,Description,MXN_Match
Tradition,Other,FX,CU,EUR,20000000,23280000,1,False,9500.0,OD EUR vs. NOK Call at a strike of 10.9705,False
Tradition,1W,FX,CU,USD,50000000,50000000,1,False,65000.0,1W USD vs. JPY Call at a strike of 158.5,False
Tradition,Other,FX,CU,NOK,400000000,43080000,1,False,802400.0,SPECIFIC NOK vs. SEK Put at a strike of 0.9985,False
Tradition,2W,FX,CU,NOK,400000000,43080000,1,False,2446000.0,2W NOK vs. SEK Put at a strike of 1,False
Tradition,Other,FX,CU,EUR,30000000,34920000,1,False,194670.0,SPECIFIC EUR vs. NOK Put at a strike of 10.8,False
Tradition,1Y,FX,CU,EUR,19000000,22116000,2,False,472872.0,1Y EUR vs. MXN Call at a strike of 21.06,True
Tradition,1Y,FX,CU,EUR,19000000,22116000,2,False,472872.0,1Y EUR vs. MXN Put at a strike of 21.06,True
Tradition,6M,FX,CU,EUR,30000000,34920000,1,False,159000.0,6M EUR vs. GBP Call at a delta of 25,False
Tradition,6M,FX,CU,EUR,30000000,34920000,1,False,127500.0,6M EUR vs. GBP Put at a delta of 25,False
Tradition,1Y,FX,CU,EUR,30000000,34920000,1,False,264000.0,1Y EUR vs. GBP Call at a delta of 25,False
Tradition,1Y,FX,CU,EUR,30000000,34920000,1,False,204000.0,1Y EUR vs. GBP Put at a delta of 25,False
Tradition,3M,FX,CU,EUR,37500000,43650000,2,False,347975.0,3M EUR vs. MXN Call at a strike of 20.3625,True
Tradition,3M,FX,CU,EUR,37500000,43650000,2,False,347975.0,3M EUR vs. MXN Put at a strike of 20.3625,True
Tradition,Other,FX,CU,EUR,25000000,29100000,1,False,7500.0,ON EUR vs. USD Call at a strike of 1.169,False
Tradition,Other,FX,CU,EUR,175000000,203700000,2,False,63750.0,OD EUR vs. USD Put at a strike of 1.16,False
Tradition,1M,FX,CU,USD,10000000,10000000,1,False,59750.0,1M USD vs. BRL Put at a strike of 5.183,False
Tradition,1Y,FX,CU,USD,120000000,120000000,4,False,149375.0,1Y USD vs. CNH Call at a delta of 25,False
Tradition,1Y,FX,CU,USD,120000000,120000000,4,False,137500.0,1Y USD vs. CNH Put at a delta of 25,False
Tradition,3M,FX,CU,USD,110000000,110000000,3,False,269775.0,3M USD vs. MXN Put at a delta of 25,True
Tradition,3M,FX,CU,USD,100000000,100000000,3,False,178500.0,3M USD vs. MXN Call at a delta of 25,True
Tradition,Other,FX,CU,EUR,100000000,116400000,1,False,152500.0,OD EUR vs. GBP Call at a strike of 0.8675,False
Tradition,Other,FX,CU,EUR,100000000,116400000,1,False,182500.0,OD EUR vs. GBP Call at a strike of 0.87,False
Tradition,1M,FX,CU,USD,11000000,11000000,1,False,46475.0,1M USD vs. MXN Put at a delta of 25,True
Tradition,1M,FX,CU,USD,10000000,10000000,1,False,31750.0,1M USD vs. MXN Call at a delta of 25,True
Tradition,1M,FX,CU,GBP,100000000,134750000,2,False,68750.0,1M GBP vs. USD Put at a delta of 10,False
Tradition,1M,FX,CU,GBP,100000000,134750000,2,False,57500.0,1M GBP vs. USD Call at a delta of 10,False
Tradition,Other,FX,CU,EUR,150000000,174600000,1,False,67500.0,OD EUR vs. USD Call at a strike of 1.17,False
Tradition,1M,FX,CU,USD,23000000,23000000,1,False,225400.0,1M USD vs. COP Put at a delta of 25,False
Tradition,1M,FX,CU,USD,20000000,20000000,1,False,158500.0,1M USD vs. COP Call at a delta of 25,False
Tradition,18M,FX,CU,USD,25000000,25000000,1,False,677500.0,18M USD vs. CAD Put at a delta of 50,False
Tradition,18M,FX,CU,USD,25000000,25000000,1,False,623125.0,18M USD vs. CAD Call at a delta of 50,False
Tradition,18M,FX,CU,USD,30250000,30250000,1,False,338800.0,18M USD vs. CAD Put at a delta of 25,False
Tradition,18M,FX,CU,USD,30250000,30250000,1,False,325943.75,18M USD vs. CAD Call at a delta of 25,False
Tradition,2W,FX,CU,GBP,10000000,13475000,1,False,33600.0,2W GBP vs. CAD Call at a strike of 1.8615,False
Tradition,2W,FX,CU,GBP,10000000,13475000,1,False,33600.0,2W GBP vs. CAD Put at a strike of 1.8615,False
Tradition,2W,FX,CU,GBP,15000000,20212500,1,False,51615.0,2W GBP vs. CAD Call at a strike of 1.8605,False
Tradition,2W,FX,CU,GBP,15000000,20212500,1,False,49185.0,2W GBP vs. CAD Put at a strike of 1.8605,False
Tradition,6M,FX,CU,GBP,87500000,117906248,2,False,981562.5,6M GBP vs. USD Put at a delta of 50,False
Tradition,6M,FX,CU,GBP,87500000,117906248,2,False,930000.0,6M GBP vs. USD Call at a delta of 50,False
Tradition,1Y,FX,CU,GBP,87500000,117906248,2,False,1519687.5,1Y GBP vs. USD Put at a delta of 50,False
Tradition,1Y,FX,CU,GBP,87500000,117906248,2,False,1390312.5,1Y GBP vs. USD Call at a delta of 50,False
Tradition,Other,FX,CU,AUD,30000000,21555000,1,False,13500.0,ON AUD vs. USD Put at a strike of 0.715,False
Tradition,Other,FX,CU,USD,40000000,40000000,2,False,35500.0,OD USD vs. MXN Call at a strike of 17.262,True
Tradition,1M,FX,CU,USD,30000000,30000000,1,False,28500.0,1M USD vs. CNH Call at a delta of 25,False
Tradition,1M,FX,CU,USD,30000000,30000000,1,False,27750.0,1M USD vs. CNH Put at a delta of 25,False
Tradition,1W,FX,CU,USD,80000000,80000000,2,False,108750.0,1W USD vs. JPY Call at a strike of 159.15,False
Tradition,1M,FX,CU,USD,39000000,39000000,3,False,44525.0,1M USD vs. COP Put at a delta of 10,False
Tradition,1M,FX,CU,USD,30000000,30000000,3,False,24500.0,1M USD vs. COP Call at a delta of 10,False
Tradition,1Y,FX,CU,USD,44000000,44000000,2,False,295625.0,1Y USD vs. BRL Put at a delta of 25,False
Tradition,1Y,FX,CU,USD,40000000,40000000,2,False,201250.0,1Y USD vs. BRL Call at a delta of 25,False
Tradition,1M,FX,CU,USD,269000000,269000000,9,False,174750.0,1M USD vs. BRL Put at a delta of 25,False
Tradition,1M,FX,CU,USD,135000000,135000000,2,False,154875.0,1M USD vs. BRL Call at a delta of 25,False
Tradition,1M,FX,CU,USD,15000000,15000000,1,False,202500.0,1M USD vs. BRL Put at a delta of 50,False
Tradition,1M,FX,CU,USD,15000000,15000000,1,False,202500.0,1M USD vs. BRL Call at a delta of 50,False
Tradition,3M,FX,CU,USD,15000000,15000000,1,False,223500.0,3M USD vs. JPY Put at a delta of 50,False
Tradition,3M,FX,CU,USD,15000000,15000000,1,False,211875.0,3M USD vs. JPY Call at a delta of 50,False
Tradition,Other,FX,CU,USD,20000000,20000000,1,False,58500.0,OD USD vs. ZAR Call at a strike of 16.19,False
Tradition,1M,FX,CU,USD,10000000,10000000,1,False,228750.0,1M USD vs. COP Put at a delta of 50,False
Tradition,1M,FX,CU,USD,10000000,10000000,1,False,228750.0,1M USD vs. COP Call at a delta of 50,False
Tradition,3M,FX,CU,USD,10000000,10000000,1,False,335500.0,3M USD vs. COP Put at a delta of 50,False
Tradition,3M,FX,CU,USD,10000000,10000000,1,False,335250.0,3M USD vs. COP Call at a delta of 50,False
Tradition,Other,FX,CU,AUD,100000000,71850000,2,False,56250.0,OD AUD vs. USD Call at a strike of 0.725,False
Tradition,Other,FX,CU,AUD,100000000,71850000,2,False,206250.0,OD AUD vs. USD Put at a strike of 0.717,False
Tradition,Other,FX,CU,USD,100000000,100000000,2,False,16250.0,OD USD vs. CNH Call at a strike of 6.755,False
Tradition,1M,FX,CU,EUR,7500000,8730000,1,False,50625.0,1M EUR vs. MXN Put at a delta of 50,True
Tradition,1M,FX,CU,EUR,7500000,8730000,1,False,50625.0,1M EUR vs. MXN Call at a delta of 50,True
Tradition,Other,FX,CU,EUR,25000000,29100000,1,False,5625.0,ON EUR vs. USD Put at a strike of 1.16,False
Tradition,1M,FX,CU,AUD,5000000,3592500,1,False,31750.0,1M AUD vs. USD Put at a delta of 50,False
Tradition,1M,FX,CU,AUD,5000000,3592500,1,False,31875.0,1M AUD vs. USD Call at a delta of 50,False
Tradition,3M,FX,CU,AUD,5000000,3592500,1,False,58000.0,3M AUD vs. USD Put at a delta of 50,False
Tradition,3M,FX,CU,AUD,5000000,3592500,1,False,56250.0,3M AUD vs. USD Call at a delta of 50,False
Tradition,3M,FX,CU,USD,110000000,110000000,4,False,372900.0,3M USD vs. BRL Put at a delta of 25,False
Tradition,3M,FX,CU,USD,100000000,100000000,4,False,250500.0,3M USD vs. BRL Call at a delta of 25,False
Tradition,Other,FX,CU,EUR,25000000,29100000,1,False,17500.0,ON EUR vs. USD Call at a strike of 1.165,False
Tradition,Other,FX,CU,EUR,25000000,29100000,1,False,8750.0,ON EUR vs. USD Put at a strike of 1.161,False
Tradition,Other,FX,CU,USD,60000000,60000000,3,False,42250.0,OD USD vs. CLP Call at a strike of 880,False
Tradition,3M,FX,CU,USD,20000000,20000000,1,False,356500.0,3M USD vs. MXN Put at a delta of 50,True
Tradition,3M,FX,CU,USD,20000000,20000000,1,False,356500.0,3M USD vs. MXN Call at a delta of 50,True
